title,movie_id
"Karate Kid
Legends",1011477
The King of Kings,1181107
Ballerina,541671
Jurassic World: Rebirth,1234821
Eddington,648878
Friendship,1239655
Bring Her Back,1151031
The Last Rodeo,1380682
The Accountant 2,1416745
How to Train your Dragon,1087192
The Phoenician Scheme,1137350
Lilo & Stitch,552524
The Life of Chuck,842924
The Surfer,1128655
Clown in A Cornfield,713364
"Thunderbolts*
*the New Avengers",986056
Drop,1249213
Shadow Force,757725
Fight or Flight,1212855
"Final Destination, Bloodlines",574475
The Amateur,1087891
M3gan 2.0,1071585
Let's Start A Cult,1327649
Sinners,1233413
The Rule of Jenny Pen,1212742
Levels,791042
Death of A Unicorn,1153714
Flow,262610
Warfare,1241436
One of Them Days,1280672
A Minecraft Movie,950387
A Working Man,1197306
Snow White,447273
The Monkey,1124620
The Ballad of Wallis Island,1122099
The Friend,248608
The Wedding Banquet,1278827
In the Lost Lands,324544
The Wiz,929834
The Brutalist,549509
Queer,1059128
"Bridget, Mad About the Boy",1272149
The Alto Knights,1013601
William Tell,1195631
The Woman in the Yard,1244944
Bottoms,814776
"Doctor Who
The Savages",436722
Presence,1140535
"Captain America
Brave New World",822119
"Spy x family
Code: White",1062807
Batman Ninja,1297763
Black Bag,1233575
Mickey 17,696506
Anora,1064213
Armor,1182387
The End,35976
A Real Pain,1013850
Memoir of A Snail,1064486
K SjO a K SQO aÞ,
Paddington in Peru,516729
Last Breath,89150
Nosferatu,426063
Kraven the Hunter,539972
"Bonhoeffer
Pastor. Spy. Assassin",1079244
Batman ninja vs. Yakuza league,1297763
Asia,55048
Flight Risk,1126166
Love Hurts,64004
I Saw the TV Glow,858017
Dog Man,8891
"Mufasa, the Lion King",762509
A Complete Unknown,661539
Companion,1084199
Love Me,139628
"Please Don't Destroy
The Treasure of Foggy Mountain",1002315
We Live in Time,1100099
Wolf Man,710295
Moana 2,1241982
Juror #2,1106739
Babygirl,1097549
5-Sep,1225954
Sing Sing,219556
Heretic,1138194
"Den of Thieves 2
Pantera",604685
Molli and Max in the Future,1011911
"The Nutty Professor Collection
Nutty Professor",
Attachment,699505
Wicked,834143
The Substance,933260
Here,206691
The Order,82104
"Venom, the Last Dance",912649
Saturday Night,68829
"The Lord of the Rings
The War of the Rohirrim",839033
"Nine Perfect Strangers
Season 1",
Werewolves,970450
Hard Truths,1013154
The Wild Robot,1184918
Conclave,974576
The Garfield Movie,748783
Migration,940551
Despicable Me 4,519182
Deadpool & Wolverine,533535
IF,639720
Reagan,672239
"The Hunger Games
Ballad of Songbirds and Snakes",695721
Beetlejuice Beetlejuice,4288
Inside Out 2,1022789
Arthur the King,22002
The Fall Guy,5031
Civil War,121534
"Godzilla X Kong
The New Empire",823464
Mothers' Instinct,758679
The Bikeriders,1008409
Kung Fu Panda 4,1011985
Kingdom of the Planet of the Apes,653346
Borderlands,365177
Wish,1022796
The Ministry of Ungentlemanly Warfare,799583
"Alien
Romulus",945961
Godzilla minus one,940721
It Ends With Us,1079091
Harold and the Purple Crayon,24875
White Bird,779816
"Dune, Part Two",693134
"Joker, Folie à Deux",889737
Longlegs,1226578
The Boys in the Boat,823452
The boy and the heron,508883
"Furiosa
A Mad Max Saga",786892
"Horizon
Chapter 1 / An American Saga",
Twisters,718821
"Ghostbusters
Frozen Empire",967847
The Killer's Game,507241
"Bad Boys, Ride or Die",573435
Ferrari,365620
"A Quiet Place
Day One",762441
Thelma,97248
Monkey Man,560016
The 4:30 Movie,1146556
Challengers,937287
Kinds of Kindness,1029955
MaXXXine,1023922
Poor Things,792307
Wonka,787699
Next Goal Wins,256836
The Beekeeper,866398
Aquaman and the Lost Kingdom,572802
Mean Girls,10625
Origin,82875
The Marsh King's Daughter,798362
The Apprentice,2472
Trolls Band Together,901362
"Andor
The Complete First Season",
Immaculate,1041613
Blink Twice,840705
Freelance,897087
"Bob Marley, One Love",53041
The Holdovers,840430
Journey to Bethlehem,1092329
The Last Stop in Yuma County,1047020
The Forge,1186532
Drive-away Dolls,957304
The zone of interest,467244
The Fabulous Four,974613
Dance First,978114
The Crow,957452
The Iron Claw,850165
The Color Purple,873
Robot Dreams,838240
Red rooms,219705
"The Falcon and the Winter Soldier
The Complete First Season",
"Justice League
Crisis on Infinite Earths. Part One",1155089
Didi,4048595
Piece by Piece,1236419
Lisa Frankenstein,993784
Piece by Piece,1236419
Boy Kills World,882059
Dream Scenario,823482
Ordinary Angels,974036
American Fiction,1056360
Imaginary,1125311
Anatomy of a fall,915935
Cuckoo,47813
The Marvels,609681
"Moon Knight
The Complete First Season",
Boneyard,1114738
The Island,71121
The Watchers,1086747
Terrifier 3,1034541
We Are Zombies,1139106
"Justice League, Crisis on Infinite Earths
Part Three",1209290
"Justice League
Crisis on Infinite Earths. Part Two",1209288
Never Let Go,85593
The Night They Came Home,1216299
Thanksgiving,86986
Night Swim,305966
"Obi-wan Kenobi
The Complete Series",
Godzilla,340315
Love Lies Bleeding,948549
